Fasta headers,Reporter intensity corrected 0,Reporter intensity corrected 1,Reporter intensity corrected 2,Reporter intensity corrected 3,Reporter intensity corrected 4,Reporter intensity corrected 5
tr|A0A0R4J138|A0A0R4J138_MOUSE Arylsulfatase B OS=Mus musculus OX=10090 GN=Arsb PE=1 SV=1;sp|P50429|ARSB_MOUSE Arylsulfatase B OS=Mus musculus OX=10090 GN=Arsb PE=1 SV=3,1521200,2366700,1468300,1456600,907150,2119300
tr|A0A0R4J150|A0A0R4J150_MOUSE Oxysterol-binding protein OS=Mus musculus OX=10090 GN=Osbpl8 PE=1 SV=1;sp|B9EJ86|OSBL8_MOUSE Oxysterol-binding protein-related protein 8 OS=Mus musculus OX=10090 GN=Osbpl8 PE=1 SV=1,2084400,2125600,1945400,1371100,1250000,1978900
tr|Q8R569|Q8R569_MOUSE Smarca4 protein (Fragment) OS=Mus musculus OX=10090 GN=Smarca4 PE=2 SV=1;tr|Q8R0K1|Q8R0K1_MOUSE Smarca4 protein (Fragment) OS=Mus musculus OX=10090 GN=Smarca4 PE=2 SV=1;tr|Q3UI73|Q3UI73_MOUSE Uncharacterized protein (Fragment) OS=Mus,11039,22902,12887,15314,7137,16989
tr|Q6DD95|Q6DD95_MOUSE Cacnb1 protein OS=Mus musculus OX=10090 GN=Cacnb1 PE=2 SV=1;tr|A2A542|A2A542_MOUSE Voltage-dependent L-type calcium channel subunit beta-1 OS=Mus musculus OX=10090 GN=Cacnb1 PE=1 SV=1;tr|Q3U2N3|Q3U2N3_MOUSE Uncharacterized protein OS,509730,583030,495580,346790,245800,502160
tr|A0A0R4J195|A0A0R4J195_MOUSE Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Mus musculus OX=10090 GN=Rprd1b PE=1 SV=1;sp|Q9CSU0|RPR1B_MOUSE Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Mus musculus OX=10090 GN=Rprd1b PE=,338780,322650,327020,192280,160330,284630
tr|A0A0R4J1B6|A0A0R4J1B6_MOUSE DENN domain-containing protein 5A OS=Mus musculus OX=10090 GN=Dennd5a PE=1 SV=1;sp|A2RSQ0|DEN5B_MOUSE DENN domain-containing protein 5B OS=Mus musculus OX=10090 GN=Dennd5b PE=1 SV=2;sp|Q6PAL8|DEN5A_MOUSE DENN domain-containin,120500,123390,107660,108600,70620,140650
"tr|G3UWM7|G3UWM7_MOUSE 28S ribosomal protein S29, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Dap3 PE=1 SV=1;tr|G3UWZ6|G3UWZ6_MOUSE 28S ribosomal protein S29, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Dap3 PE=1 SV=1;tr|A0A0R4J1B9|A0A0R4",128200,156930,155660,64752,69454,164170
tr|A0A0R4J1D0|A0A0R4J1D0_MOUSE Copine-2 OS=Mus musculus OX=10090 GN=Cpne2 PE=1 SV=1;sp|P59108|CPNE2_MOUSE Copine-2 OS=Mus musculus OX=10090 GN=Cpne2 PE=1 SV=1,48438,50579,50826,38113,35500,46537
tr|A0A0R4J1E2|A0A0R4J1E2_MOUSE Elongation factor 1-delta OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=1;tr|E9QN08|E9QN08_MOUSE Elongation factor 1-delta (Fragment) OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=1;tr|Q80T06|Q80T06_MOUSE Elongation factor 1-delta OS,684410,671420,728610,528810,380920,821250
tr|A0A0R4J1F4|A0A0R4J1F4_MOUSE MAP kinase-activating death domain protein OS=Mus musculus OX=10090 GN=Madd PE=1 SV=1;tr|A2AGR0|A2AGR0_MOUSE MAP kinase-activating death domain protein OS=Mus musculus OX=10090 GN=Madd PE=1 SV=1;tr|A2AGQ6|A2AGQ6_MOUSE MAP kin,5121000,5079400,4962700,4074500,2706500,5626100
tr|A0A0R4J1G5|A0A0R4J1G5_MOUSE Erlin-1 OS=Mus musculus OX=10090 GN=Erlin1 PE=1 SV=1;sp|Q8BFZ9|ERLN2_MOUSE Erlin-2 OS=Mus musculus OX=10090 GN=Erlin2 PE=1 SV=1;sp|Q91X78|ERLN1_MOUSE Erlin-1 OS=Mus musculus OX=10090 GN=Erlin1 PE=1 SV=1,80637,62812,86465,47469,56396,68199
tr|Q3UZV1|Q3UZV1_MOUSE Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=Golga3 PE=2 SV=1;tr|A0A0R4J1H6|A0A0R4J1H6_MOUSE Golgin subfamily A member 3 OS=Mus musculus OX=10090 GN=Golga3 PE=1 SV=1;tr|E9QP99|E9QP99_MOUSE Golgin subfamily A member ,508740,509480,530850,356280,208340,585190
tr|G3UXH3|G3UXH3_MOUSE Protein Shroom3 (Fragment) OS=Mus musculus OX=10090 GN=Shroom3 PE=1 SV=1;tr|A0A0R4J1H8|A0A0R4J1H8_MOUSE Protein Shroom3 OS=Mus musculus OX=10090 GN=Shroom3 PE=1 SV=1;tr|E9Q6I3|E9Q6I3_MOUSE Protein Shroom3 OS=Mus musculus OX=10090 GN=,0,0,0,0,0,0
"tr|A0A0R4J1J1|A0A0R4J1J1_MOUSE MCG114807, isoform CRA_c OS=Mus musculus OX=10090 GN=Pnkd PE=1 SV=1",48280,52524,32214,34133,32186,34053
tr|Q3TMU8|Q3TMU8_MOUSE Dihydropyrimidinase-like 4 OS=Mus musculus OX=10090 GN=Dpysl4 PE=1 SV=1;tr|A0A0R4J1N0|A0A0R4J1N0_MOUSE Dihydropyrimidinase-related protein 4 OS=Mus musculus OX=10090 GN=Dpysl4 PE=1 SV=1;sp|O35098|DPYL4_MOUSE Dihydropyrimidinase-relat,10008000,11986000,10861000,8373700,6288300,12518000
tr|Q9D6H7|Q9D6H7_MOUSE Tyrosine-protein kinase OS=Mus musculus OX=10090 GN=Matk PE=2 SV=1;tr|A0A0R4J1P8|A0A0R4J1P8_MOUSE Tyrosine-protein kinase OS=Mus musculus OX=10090 GN=Matk PE=1 SV=1;tr|D3Z4T5|D3Z4T5_MOUSE Tyrosine-protein kinase OS=Mus musculus OX=10,66516,89921,80671,44560,37868,78634
"tr|G5E8J2|G5E8J2_MOUSE Ankyrin 1, erythroid OS=Mus musculus OX=10090 GN=Ank1 PE=1 SV=1;tr|B7ZW98|B7ZW98_MOUSE Ank1 protein OS=Mus musculus OX=10090 GN=Ank1 PE=1 SV=1;tr|E9QNT8|E9QNT8_MOUSE Ankyrin-1 OS=Mus musculus OX=10090 GN=Ank1 PE=1 SV=1;tr|G8JL84|G8JL",320740,441530,412390,315710,261110,445830
tr|D6RE33|D6RE33_MOUSE Enhancer of mRNA-decapping protein 4 OS=Mus musculus OX=10090 GN=Edc4 PE=1 SV=1;tr|A0A0R4J1Q0|A0A0R4J1Q0_MOUSE Enhancer of mRNA-decapping protein 4 OS=Mus musculus OX=10090 GN=Edc4 PE=1 SV=1;tr|G5E896|G5E896_MOUSE Enhancer of mRNA de,241950,246890,250600,186130,143940,251040
"tr|Q3TEF0|Q3TEF0_MOUSE Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=Cdc23 PE=2 SV=1;tr|G3X8W7|G3X8W7_MOUSE CDC23 (Cell division cycle 23, yeast, homolog), isoform CRA_a OS=Mus musculus OX=10090 GN=Cdc23 PE=1 SV=1;tr|A0A0R4J1W7|A0A0R4J1W7_",410030,313110,460850,181020,176800,438190
tr|A0A0R4J1Y6|A0A0R4J1Y6_MOUSE A-kinase anchor protein SPHKAP (Fragment) OS=Mus musculus OX=10090 GN=Sphkap PE=1 SV=1;tr|E9PUC4|E9PUC4_MOUSE A-kinase anchor protein SPHKAP OS=Mus musculus OX=10090 GN=Sphkap PE=1 SV=1;sp|Q6NSW3|SPKAP_MOUSE A-kinase anchor p,184920,199700,155240,200370,128860,228430
tr|A0A0R4J1Y7|A0A0R4J1Y7_MOUSE Thioredoxin domain-containing protein 5 OS=Mus musculus OX=10090 GN=Txndc5 PE=1 SV=1;tr|E9PXX7|E9PXX7_MOUSE Thioredoxin domain-containing protein 5 OS=Mus musculus OX=10090 GN=Txndc5 PE=1 SV=1;tr|Q3TEE8|Q3TEE8_MOUSE Uncharact,1071700,1911400,997470,820510,807690,970510
tr|E0CXY5|E0CXY5_MOUSE Transmembrane protein 33 (Fragment) OS=Mus musculus OX=10090 GN=Tmem33 PE=4 SV=1;tr|Q9CWD1|Q9CWD1_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Tmem33 PE=2 SV=1;tr|A0A0R4J1Z3|A0A0R4J1Z3_MOUSE Transmembrane protein 33 OS=M,660480,735020,796620,558350,446560,844080
tr|G3UZI2|G3UZI2_MOUSE Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus OX=10090 GN=Syncrip PE=1 SV=1;tr|A0A0R4J259|A0A0R4J259_MOUSE Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus OX=10090 GN=Syncrip PE=1 SV=1;tr|G3V018|G3V018_MOUSE Het,349730,186720,247420,303300,194490,377630
tr|Q91VJ9|Q91VJ9_MOUSE 1-acyl-sn-glycerol-3-phosphate acyltransferase OS=Mus musculus OX=10090 GN=Agpat1 PE=2 SV=1;tr|A0A0R4J263|A0A0R4J263_MOUSE 1-acyl-sn-glycerol-3-phosphate acyltransferase OS=Mus musculus OX=10090 GN=Agpat1 PE=1 SV=1;tr|Q8BUB3|Q8BUB3_M,1063600,849180,912100,790200,614470,956410
tr|Q8BME2|Q8BME2_MOUSE NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Mus musculus OX=10090 GN=Ndufa12 PE=2 SV=1;tr|Q5M9K5|Q5M9K5_MOUSE NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Mus musculus OX=10090 GN=Ndufa12 PE=2,7862600,9626800,7548500,5926900,4946100,7646700
tr|A0A0R4J2A2|A0A0R4J2A2_MOUSE Ankyrin repeat and sterile alpha motif domain-containing protein 1B OS=Mus musculus OX=10090 GN=Anks1b PE=1 SV=1;tr|S4R2H8|S4R2H8_MOUSE Ankyrin repeat and sterile alpha motif domain-containing protein 1B OS=Mus musculus OX=10,2726500,3067400,2077600,2336100,1690400,2783700
tr|A0A0R4J2B2|A0A0R4J2B2_MOUSE BTB/POZ domain-containing protein KCTD12 OS=Mus musculus OX=10090 GN=Kctd12 PE=1 SV=1;sp|Q6WVG3|KCD12_MOUSE BTB/POZ domain-containing protein KCTD12 OS=Mus musculus OX=10090 GN=Kctd12 PE=1 SV=1;tr|Q8CBQ4|Q8CBQ4_MOUSE Uncharac,4431900,3922900,4233600,2861700,2404000,4251200
tr|Q5DTI3|Q5DTI3_MOUSE MKIAA4194 protein (Fragment) OS=Mus musculus OX=10090 GN=Syt2 PE=2 SV=1;tr|A0A0R4J2C2|A0A0R4J2C2_MOUSE Synaptotagmin II OS=Mus musculus OX=10090 GN=Syt2 PE=1 SV=1;sp|P46097|SYT2_MOUSE Synaptotagmin-2 OS=Mus musculus OX=10090 GN=Syt2 ,1237700,1269600,994120,1031000,977920,1301900
tr|A2RTH5|A2RTH5_MOUSE Leucine carboxyl methyltransferase 1 OS=Mus musculus OX=10090 GN=Lcmt1 PE=1 SV=1;tr|A0A0U1RNF2|A0A0U1RNF2_MOUSE Leucine carboxyl methyltransferase 1 OS=Mus musculus OX=10090 GN=Lcmt1 PE=1 SV=1,1752300,2118700,1785800,1566100,1154500,1906500
tr|A0A0U1RP66|A0A0U1RP66_MOUSE Retinaldehyde-binding protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Rlbp1 PE=1 SV=1;tr|A0A0U1RNL2|A0A0U1RNL2_MOUSE Retinaldehyde-binding protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Rlbp1 PE=1 SV=1;tr|A0A0U1RQ07|A0A0U1,26990,37923,21537,25227,11571,26747
tr|J3QPY0|J3QPY0_MOUSE RIKEN cDNA 1600014C10 gene OS=Mus musculus OX=10090 GN=1600014C10Rik PE=1 SV=1;tr|A0A0U1RNT4|A0A0U1RNT4_MOUSE RIKEN cDNA 1600014C10 gene OS=Mus musculus OX=10090 GN=1600014C10Rik PE=1 SV=1;sp|Q8WUR0|CS012_MOUSE Protein C19orf12 homol,350710,425250,355450,318350,214390,365920
tr|A0A0U1RP00|A0A0U1RP00_MOUSE Nucleolysin TIAR OS=Mus musculus OX=10090 GN=Tial1 PE=1 SV=1;tr|D6RGU1|D6RGU1_MOUSE Nucleolysin TIAR OS=Mus musculus OX=10090 GN=Tial1 PE=1 SV=1;tr|Q921W2|Q921W2_MOUSE Nucleolysin TIAR OS=Mus musculus OX=10090 GN=Tial1 PE=1 S,0,0,0,0,0,0
tr|A0A0U1RP13|A0A0U1RP13_MOUSE CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Mus musculus OX=10090 GN=Cdipt PE=1 SV=1;sp|Q8VDP6|CDIPT_MOUSE CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Mus musculus OX=10090 GN=Cdipt PE=1 SV=1;tr|A0,4526300,5257800,5315900,3151200,2426100,5481900
tr|A0A0U1RP30|A0A0U1RP30_MOUSE Protein LSM14 homolog A (Fragment) OS=Mus musculus OX=10090 GN=Lsm14a PE=1 SV=1;sp|Q8K2F8|LS14A_MOUSE Protein LSM14 homolog A OS=Mus musculus OX=10090 GN=Lsm14a PE=1 SV=1,1386800,1349400,1288000,892810,639730,1570800
"tr|A0A0U1RPE4|A0A0U1RPE4_MOUSE Gamma-aminobutyric acid receptor subunit alpha-1 (Fragment) OS=Mus musculus OX=10090 GN=Gabra1 PE=1 SV=1;tr|Q544F7|Q544F7_MOUSE Gamma-aminobutyric acid (GABA-A) receptor, subunit alpha 1 OS=Mus musculus OX=10090 GN=Gabra1 PE=",3145000,2960500,2997300,3157900,1906800,4473300
tr|A0A0U1RPE7|A0A0U1RPE7_MOUSE Hsp70-binding protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Hspbp1 PE=1 SV=1;tr|A0A0U1RQ49|A0A0U1RQ49_MOUSE Hsp70-binding protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Hspbp1 PE=1 SV=1;tr|A0A0U1RPF2|A0A0U1RPF2_MOUSE Hsp,127790,107370,115990,90955,53339,117110
tr|E9Q5Q0|E9Q5Q0_MOUSE Ataxin-2-like protein (Fragment) OS=Mus musculus OX=10090 GN=Atxn2l PE=1 SV=2;tr|Q3TYH7|Q3TYH7_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Atxn2l PE=2 SV=1;tr|Q3TGG2|Q3TGG2_MOUSE Ataxin-2-like protein OS=Mus musculus OX,708060,938810,793220,675200,340710,938600
tr|A0A0U1RPU8|A0A0U1RPU8_MOUSE Protein tweety homolog OS=Mus musculus OX=10090 GN=Ttyh1 PE=1 SV=1;sp|Q9D3A9|TTYH1_MOUSE Protein tweety homolog 1 OS=Mus musculus OX=10090 GN=Ttyh1 PE=1 SV=1,6171900,5835800,6783700,5536200,3938000,7167200
tr|A0A0U1RQ74|A0A0U1RQ74_MOUSE MCG147826 OS=Mus musculus OX=10090 GN=Map3k10 PE=1 SV=1;tr|D3YXM8|D3YXM8_MOUSE Mitogen-activated protein kinase kinase kinase OS=Mus musculus OX=10090 GN=Map3k10 PE=1 SV=1;sp|Q66L42|M3K10_MOUSE Mitogen-activated protein kinas,0,0,0,0,0,0
tr|A0A0U1RQ88|A0A0U1RQ88_MOUSE Aggrecan core protein (Fragment) OS=Mus musculus OX=10090 GN=Acan PE=1 SV=1;sp|Q61282|PGCA_MOUSE Aggrecan core protein OS=Mus musculus OX=10090 GN=Acan PE=1 SV=2,935100,683910,1262300,423170,407800,1307900
tr|D3Z665|D3Z665_MOUSE ER membrane protein complex subunit 10 (Fragment) OS=Mus musculus OX=10090 GN=Emc10 PE=1 SV=2;tr|A0A0X1KG66|A0A0X1KG66_MOUSE ER membrane protein complex subunit 10 OS=Mus musculus OX=10090 GN=Emc10 PE=1 SV=1;tr|A0A0X1KG67|A0A0X1KG67_,162300,144070,164060,96783,74647,181000
tr|A0A140LHA2|A0A140LHA2_MOUSE Mitotic checkpoint protein BUB3 OS=Mus musculus OX=10090 GN=Bub3 PE=1 SV=1;sp|Q9WVA3|BUB3_MOUSE Mitotic checkpoint protein BUB3 OS=Mus musculus OX=10090 GN=Bub3 PE=1 SV=2,442250,476470,361690,424710,315590,473600
tr|A0A140LHB3|A0A140LHB3_MOUSE Glutamine--tRNA ligase (Fragment) OS=Mus musculus OX=10090 GN=Qars PE=1 SV=1;tr|A0A140LIS6|A0A140LIS6_MOUSE Glutamine--tRNA ligase OS=Mus musculus OX=10090 GN=Qars PE=1 SV=1;tr|A0A140LHZ5|A0A140LHZ5_MOUSE Glutamine--tRNA liga,360840,426590,324880,288050,214350,410670
tr|A0A140LHF7|A0A140LHF7_MOUSE Protein arginine N-methyltransferase 1 OS=Mus musculus OX=10090 GN=Prmt1 PE=1 SV=1;tr|A0A171KXD3|A0A171KXD3_MOUSE Protein arginine N-methyltransferase 1 OS=Mus musculus OX=10090 GN=Prmt1 PE=1 SV=1;tr|Q8C2D7|Q8C2D7_MOUSE Uncha,1309800,869860,1406400,890260,812530,1452200
"tr|A0A140LJG6|A0A140LJG6_MOUSE MCG7038, isoform CRA_a OS=Mus musculus OX=10090 GN=Spcs2 PE=1 SV=1;tr|A0A140LHR3|A0A140LHR3_MOUSE Signal peptidase complex subunit 2 OS=Mus musculus OX=10090 GN=Spcs2 PE=1 SV=1;tr|A0A140LJ01|A0A140LJ01_MOUSE Signal peptidase ",657690,812630,769870,318590,331830,668190
tr|Q3UJK6|Q3UJK6_MOUSE NAD-dependent protein deacetylase OS=Mus musculus OX=10090 GN=Sirt2 PE=2 SV=1;tr|A0A140LHL5|A0A140LHL5_MOUSE NAD-dependent protein deacetylase OS=Mus musculus OX=10090 GN=Sirt2 PE=1 SV=1;sp|Q8VDQ8|SIR2_MOUSE NAD-dependent protein dea,45000000,50038000,64051000,33144000,27506000,62480000
tr|A0A140LI58|A0A140LI58_MOUSE Protein phosphatase 1 regulatory subunit 14A OS=Mus musculus OX=10090 GN=Ppp1r14a PE=1 SV=1;sp|Q91VC7|PP14A_MOUSE Protein phosphatase 1 regulatory subunit 14A OS=Mus musculus OX=10090 GN=Ppp1r14a PE=1 SV=1,425950,332130,606760,258870,227570,475630
tr|A0A140LI60|A0A140LI60_MOUSE Myosin-14 (Fragment) OS=Mus musculus OX=10090 GN=Myh14 PE=1 SV=1;tr|K3W4R2|K3W4R2_MOUSE Myosin-14 OS=Mus musculus OX=10090 GN=Myh14 PE=1 SV=1;sp|Q6URW6|MYH14_MOUSE Myosin-14 OS=Mus musculus OX=10090 GN=Myh14 PE=1 SV=1,1445100,600530,1363600,891620,306540,973270
tr|A0A140LIC7|A0A140LIC7_MOUSE N-acetyltransferase 14 (Fragment) OS=Mus musculus OX=10090 GN=Nat14 PE=1 SV=2;sp|Q8BVG8|NAT14_MOUSE N-acetyltransferase 14 OS=Mus musculus OX=10090 GN=Nat14 PE=1 SV=1,411590,489390,519400,289800,211050,419980
tr|A0A140LIJ9|A0A140LIJ9_MOUSE BTB/POZ domain-containing protein 16 OS=Mus musculus OX=10090 GN=Btbd16 PE=4 SV=1,1991000,2695000,2907200,1260500,764740,2930900
"tr|A0A140LIZ5|A0A140LIZ5_MOUSE 26S proteasome regulatory subunit 6B OS=Mus musculus OX=10090 GN=Psmc4 PE=1 SV=1;tr|Q569X4|Q569X4_MOUSE Proteasome (Prosome, macropain) 26S subunit, ATPase, 4 OS=Mus musculus OX=10090 GN=Psmc4 PE=2 SV=1;tr|Q3TUN5|Q3TUN5_MOUSE",5163900,5086800,5020000,4397800,3059900,5780700
tr|E9Q5W5|E9Q5W5_MOUSE Zinc finger ZZ-type and EF-hand domain-containing protein 1 OS=Mus musculus OX=10090 GN=Zzef1 PE=1 SV=1;tr|A0A140LJ04|A0A140LJ04_MOUSE Zinc finger ZZ-type and EF-hand domain-containing protein 1 OS=Mus musculus OX=10090 GN=Zzef1 PE=1,267610,294340,302780,189770,125760,352150
tr|G5E8I4|G5E8I4_MOUSE Protein Hikeshi OS=Mus musculus OX=10090 GN=Hikeshi PE=1 SV=1;tr|A0A140LJ25|A0A140LJ25_MOUSE Protein Hikeshi OS=Mus musculus OX=10090 GN=Hikeshi PE=1 SV=1;sp|Q9DD02|HIKES_MOUSE Protein Hikeshi OS=Mus musculus OX=10090 GN=Hikeshi PE=1,0,0,0,0,0,0
tr|A0A140LJ59|A0A140LJ59_MOUSE Eukaryotic translation initiation factor 3 subunit K OS=Mus musculus OX=10090 GN=Eif3k PE=1 SV=1;sp|Q9DBZ5|EIF3K_MOUSE Eukaryotic translation initiation factor 3 subunit K OS=Mus musculus OX=10090 GN=Eif3k PE=1 SV=1;tr|Q3TY56,673830,721000,659990,486700,403350,744050
tr|A0A140LJ61|A0A140LJ61_MOUSE Synemin OS=Mus musculus OX=10090 GN=Synm PE=1 SV=1;tr|A0A140LJ79|A0A140LJ79_MOUSE Synemin OS=Mus musculus OX=10090 GN=Synm PE=1 SV=1;sp|Q70IV5|SYNEM_MOUSE Synemin OS=Mus musculus OX=10090 GN=Synm PE=1 SV=2,13965000,15655000,12878000,11396000,8217000,15486000
tr|A0A140LJ98|A0A140LJ98_MOUSE Arginyl-tRNA--protein transferase 1 (Fragment) OS=Mus musculus OX=10090 GN=Ate1 PE=1 SV=1;tr|Q8BP95|Q8BP95_MOUSE Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=Ate1 PE=2 SV=1;tr|Q4FCQ7|Q4FCQ7_MOUSE Arginyl-tRN,36842,49892,45688,28898,26565,40749
tr|A0A140LJH7|A0A140LJH7_MOUSE Solute carrier organic anion transporter family member 2B1 (Fragment) OS=Mus musculus OX=10090 GN=Slco2b1 PE=1 SV=1;tr|D3YY31|D3YY31_MOUSE Solute carrier organic anion transporter family member 2B1 (Fragment) OS=Mus musculus ,0,0,0,0,0,0
tr|A0A140LJL0|A0A140LJL0_MOUSE CD81 antigen (Fragment) OS=Mus musculus OX=10090 GN=Cd81 PE=1 SV=1;tr|Q3UWG5|Q3UWG5_MOUSE Tetraspanin OS=Mus musculus OX=10090 GN=Cd81 PE=2 SV=1;sp|P35762|CD81_MOUSE CD81 antigen OS=Mus musculus OX=10090 GN=Cd81 PE=1 SV=2,1044700,1205800,1351600,658960,692140,1288000
tr|A0A140T8U6|A0A140T8U6_MOUSE Ankyrin repeat and sterile alpha motif domain-containing protein 1B OS=Mus musculus OX=10090 GN=Anks1b PE=1 SV=1;tr|S4R2E3|S4R2E3_MOUSE Ankyrin repeat and sterile alpha motif domain-containing protein 1B OS=Mus musculus OX=10,325550,263080,261810,269910,149420,344640
tr|A0A1L1SRY4|A0A1L1SRY4_MOUSE Ribonucleoprotein PTB-binding 1 (Fragment) OS=Mus musculus OX=10090 GN=Raver1 PE=1 SV=1;tr|A0A158RFV1|A0A158RFV1_MOUSE MCG1050220 OS=Mus musculus OX=10090 GN=Raver1 PE=2 SV=1;sp|Q9CW46|RAVR1_MOUSE Ribonucleoprotein PTB-bindin,0,4866,2720.3,1596.2,1668.2,3363.6
tr|Q571A4|Q571A4_MOUSE MKIAA4078 protein (Fragment) OS=Mus musculus OX=10090 GN=Plxna3 PE=2 SV=1;tr|A0A158SIT4|A0A158SIT4_MOUSE Plexin A3 OS=Mus musculus OX=10090 GN=Plxna3 PE=4 SV=1;sp|P70208|PLXA3_MOUSE Plexin-A3 OS=Mus musculus OX=10090 GN=Plxna3 PE=1 S,9439.7,0,10552,0,0,0
tr|A0A171EBK8|A0A171EBK8_MOUSE Rap1 GTPase-activating protein 2 OS=Mus musculus OX=10090 GN=Rap1gap2 PE=1 SV=1;sp|Q5SVL6|RPGP2_MOUSE Rap1 GTPase-activating protein 2 OS=Mus musculus OX=10090 GN=Rap1gap2 PE=1 SV=1,708390,695520,799290,488770,292570,843620
tr|A0A1B0GSF7|A0A1B0GSF7_MOUSE 60S ribosomal protein L18 OS=Mus musculus OX=10090 GN=Rpl18 PE=1 SV=1;tr|A0A1B0GQU8|A0A1B0GQU8_MOUSE 60S ribosomal protein L18 OS=Mus musculus OX=10090 GN=Rpl18 PE=1 SV=1;tr|Q0QEW9|Q0QEW9_MOUSE Ribosomal protein L18 (Fragment,11225000,11611000,10185000,6598600,3540700,11752000
"tr|A0A1B0GQZ9|A0A1B0GQZ9_MOUSE U6 snRNA-associated Sm-like protein LSm4 OS=Mus musculus OX=10090 GN=Lsm4 PE=1 SV=1;tr|Q9CY46|Q9CY46_MOUSE LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae), isoform CRA_b OS=Mus musculus OX=10090 GN=Lsm4 PE=1 SV=",323330,387440,326680,314390,195800,309270
tr|A0A1B0GR11|A0A1B0GR11_MOUSE Transaldolase OS=Mus musculus OX=10090 GN=Taldo1 PE=1 SV=1;sp|Q93092|TALDO_MOUSE Transaldolase OS=Mus musculus OX=10090 GN=Taldo1 PE=1 SV=2,1891700,2263900,849780,2278200,3057000,882420
tr|A0A1B0GRZ2|A0A1B0GRZ2_MOUSE Cytohesin-2 (Fragment) OS=Mus musculus OX=10090 GN=Cyth2 PE=1 SV=1;tr|A0A1B0GRM7|A0A1B0GRM7_MOUSE Cytohesin-2 (Fragment) OS=Mus musculus OX=10090 GN=Cyth2 PE=1 SV=1;tr|A0A1B0GRB2|A0A1B0GRB2_MOUSE Cytohesin-2 OS=Mus musculus O,900440,923970,845710,748530,336050,1426500
tr|A0A1B0GSL5|A0A1B0GSL5_MOUSE 60S ribosomal protein L13a OS=Mus musculus OX=10090 GN=Rpl13a PE=1 SV=1;tr|A0A1B0GSC2|A0A1B0GSC2_MOUSE 60S ribosomal protein L13a (Fragment) OS=Mus musculus OX=10090 GN=Rpl13a PE=1 SV=1;tr|A0A1B0GRH1|A0A1B0GRH1_MOUSE 60S ribo,667250,533780,546480,434030,304830,633110
tr|A0A1B0GRH2|A0A1B0GRH2_MOUSE Receptor-type tyrosine-protein phosphatase OS=Mus musculus OX=10090 GN=Ptpre PE=1 SV=1;tr|Q3V1H5|Q3V1H5_MOUSE Receptor-type tyrosine-protein phosphatase OS=Mus musculus OX=10090 GN=Ptpre PE=2 SV=1;tr|A0A1B0GRT6|A0A1B0GRT6_MOU,372770,364440,299840,189030,207270,243180
tr|A0A1B0GRH4|A0A1B0GRH4_MOUSE Ferritin OS=Mus musculus OX=10090 GN=Ftl1 PE=1 SV=1;tr|Q9CPX4|Q9CPX4_MOUSE Ferritin OS=Mus musculus OX=10090 GN=Ftl1 PE=1 SV=1;tr|Q3ULW5|Q3ULW5_MOUSE Ferritin OS=Mus musculus OX=10090 GN=Ftl1 PE=2 SV=1;tr|Q3UCL5|Q3UCL5_MOUSE ,952230,690830,1039800,791920,258760,523140
tr|Q5PR72|Q5PR72_MOUSE Phosphodiesterase OS=Mus musculus OX=10090 GN=Pde2a PE=1 SV=1;tr|Q3TYK5|Q3TYK5_MOUSE Phosphodiesterase OS=Mus musculus OX=10090 GN=Pde2a PE=2 SV=1;tr|A0A1B0GRJ9|A0A1B0GRJ9_MOUSE Phosphodiesterase OS=Mus musculus OX=10090 GN=Pde2a PE=,14195000,13935000,13118000,8300400,9330100,10890000
tr|A0A1B0GRR3|A0A1B0GRR3_MOUSE 40S ribosomal protein S11 OS=Mus musculus OX=10090 GN=Rps11 PE=1 SV=1;tr|Q3UC02|Q3UC02_MOUSE MCG23457 OS=Mus musculus OX=10090 GN=Rps11 PE=1 SV=1;tr|Q9DB79|Q9DB79_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Rps1,2289300,2473900,2485700,2096800,1173300,2766300
