Fasta headers,Reporter intensity corrected 0,Reporter intensity corrected 1,Reporter intensity corrected 2,Reporter intensity corrected 3,Reporter intensity corrected 4,Reporter intensity corrected 5
tr|Z4YJS5|Z4YJS5_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1;tr|Z4YK85|Z4YK85_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1;tr|M0QWP1|M0QWP1_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1;sp|A2ASQ1|AGRIN_MOUSE Agrin OS=Mus muscu,829140,512680,871040,230140,1310900,589780
"tr|A2ASW8|A2ASW8_MOUSE Rap guanine nucleotide exchange factor (GEF) 4, isoform CRA_b OS=Mus musculus OX=10090 GN=Rapgef4 PE=1 SV=1;tr|A2ASW4|A2ASW4_MOUSE Rapgef4 protein OS=Mus musculus OX=10090 GN=Rapgef4 PE=2 SV=1;tr|Q571A8|Q571A8_MOUSE MKIAA4040 protein",880530,522980,711920,448980,544620,653360
sp|A2ASZ8|SCMC2_MOUSE Calcium-binding mitochondrial carrier protein SCaMC-2 OS=Mus musculus OX=10090 GN=Slc25a25 PE=1 SV=1;tr|Z4YLR9|Z4YLR9_MOUSE Calcium-binding mitochondrial carrier protein SCaMC-2 (Fragment) OS=Mus musculus OX=10090 GN=Slc25a25 PE=1 SV=,1799500,1453600,1323000,669320,867310,988160
"tr|A2ATI9|A2ATI9_MOUSE Golgi reassembly stacking protein 2, isoform CRA_d OS=Mus musculus OX=10090 GN=Gorasp2 PE=1 SV=1;tr|Q3TX06|Q3TX06_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Gorasp2 PE=2 SV=1;tr|Q3TIK1|Q3TIK1_MOUSE Uncharacterized prot",1058600,1135300,1082200,696410,1242500,896970
tr|A2ATP6|A2ATP6_MOUSE Myelin expression factor 2 OS=Mus musculus OX=10090 GN=Myef2 PE=1 SV=2;sp|Q8C854|MYEF2_MOUSE Myelin expression factor 2 OS=Mus musculus OX=10090 GN=Myef2 PE=1 SV=1;tr|A2ATP5|A2ATP5_MOUSE Myelin expression factor 2 OS=Mus musculus OX=,4881800,6332900,3917200,2873500,4936500,3753700
tr|Q3TYI5|Q3TYI5_MOUSE Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=Cacnb4 PE=2 SV=1;tr|J3QK20|J3QK20_MOUSE Voltage-dependent L-type calcium channel subunit beta-4 OS=Mus musculus OX=10090 GN=Cacnb4 PE=1 SV=1;tr|A2ATZ8|A2ATZ8_MOUSE Calciu,1525000,1582700,1322600,1464600,2613500,1726500
tr|D6RJ69|D6RJ69_MOUSE Bardet-Biedl syndrome 5 protein homolog OS=Mus musculus OX=10090 GN=Bbs5 PE=1 SV=1;tr|A2AUC6|A2AUC6_MOUSE Bardet-Biedl syndrome 5 protein homolog OS=Mus musculus OX=10090 GN=Bbs5 PE=1 SV=1;sp|Q9CZQ9|BBS5_MOUSE Bardet-Biedl syndrome 5,0,0,0,0,0,0
"tr|F6VQ81|F6VQ81_MOUSE Tumor protein D54 (Fragment) OS=Mus musculus OX=10090 GN=Tpd52l2 PE=1 SV=1;tr|A2AUD5|A2AUD5_MOUSE Tumor protein D54 OS=Mus musculus OX=10090 GN=Tpd52l2 PE=1 SV=1;tr|Q8BKP1|Q8BKP1_MOUSE Tumor protein D52-like 2, isoform CRA_d OS=Mus m",3447900,7062800,3211500,2143000,3646700,2408000
tr|A2AUK8|A2AUK8_MOUSE Band 4.1-like protein 1 OS=Mus musculus OX=10090 GN=Epb41l1 PE=1 SV=1;tr|B6ZHC9|B6ZHC9_MOUSE Erythrocyte protein band 4.1-like 1 OS=Mus musculus OX=10090 GN=Epb41l1 PE=2 SV=1;tr|A2AUK5|A2AUK5_MOUSE Band 4.1-like protein 1 OS=Mus musc,29698000,27502000,19279000,19480000,32224000,23341000
tr|A2AUM6|A2AUM6_MOUSE Signal recognition particle 14 kDa protein OS=Mus musculus OX=10090 GN=Srp14 PE=1 SV=1;sp|P16254|SRP14_MOUSE Signal recognition particle 14 kDa protein OS=Mus musculus OX=10090 GN=Srp14 PE=1 SV=1,555340,723820,459340,367850,539580,393750
tr|F6RK07|F6RK07_MOUSE Disabled homolog 2-interacting protein (Fragment) OS=Mus musculus OX=10090 GN=Dab2ip PE=1 SV=1;tr|A2AUX5|A2AUX5_MOUSE Disabled homolog 2-interacting protein OS=Mus musculus OX=10090 GN=Dab2ip PE=1 SV=1;tr|A2AUX3|A2AUX3_MOUSE Disabled,552400,559370,579790,478000,856640,455410
tr|Q6ZPS0|Q6ZPS0_MOUSE MKIAA1398 protein (Fragment) OS=Mus musculus OX=10090 GN=Rrbp1 PE=2 SV=1;tr|A2AVJ7|A2AVJ7_MOUSE Ribosome-binding protein 1 OS=Mus musculus OX=10090 GN=Rrbp1 PE=1 SV=1;sp|Q99PL5|RRBP1_MOUSE Ribosome-binding protein 1 OS=Mus musculus O,175240,173500,189900,67309,135820,70518
tr|B2RRC5|B2RRC5_MOUSE RAB GTPase activating protein 1 OS=Mus musculus OX=10090 GN=Rabgap1 PE=2 SV=1;sp|A2AWA9|RBGP1_MOUSE Rab GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Rabgap1 PE=1 SV=1,940080,745470,986100,496030,939360,575050
tr|Q3V2L7|Q3V2L7_MOUSE Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=Ptprj PE=2 SV=1;tr|Q61373|Q61373_MOUSE Protein tyrosine phosphatase (Fragment) OS=Mus musculus OX=10090 GN=Ptprj PE=2 SV=1;tr|A2AWF8|A2AWF8_MOUSE Receptor-type tyrosine-p,105780,98562,161560,51079,103110,81985
tr|A2AWI7|A2AWI7_MOUSE Endophilin-B2 OS=Mus musculus OX=10090 GN=Sh3glb2 PE=1 SV=1;tr|A2AWI9|A2AWI9_MOUSE Endophilin-B2 OS=Mus musculus OX=10090 GN=Sh3glb2 PE=1 SV=1;tr|B0LDS3|B0LDS3_MOUSE Stimulator of prostatic adenocarcinoma-specific T-cells-1 OS=Mus mu,30052000,22966000,24369000,16884000,25521000,21975000
tr|A2AWQ2|A2AWQ2_MOUSE Protein RCC2 (Fragment) OS=Mus musculus OX=10090 GN=Rcc2 PE=1 SV=1;sp|Q8BK67|RCC2_MOUSE Protein RCC2 OS=Mus musculus OX=10090 GN=Rcc2 PE=1 SV=1,34146,52461,38665,25503,66398,30604
tr|A2BDX2|A2BDX2_MOUSE Dolichol-phosphate mannosyltransferase subunit 1 OS=Mus musculus OX=10090 GN=Dpm1 PE=1 SV=1;sp|O70152|DPM1_MOUSE Dolichol-phosphate mannosyltransferase subunit 1 OS=Mus musculus OX=10090 GN=Dpm1 PE=1 SV=1,533470,560990,380380,221780,298740,321880
sp|A2BDX3|MOCS3_MOUSE Adenylyltransferase and sulfurtransferase MOCS3 OS=Mus musculus OX=10090 GN=Mocs3 PE=1 SV=1,76984,100070,85449,48775,70406,54019
tr|A2BE92|A2BE92_MOUSE Protein SET (Fragment) OS=Mus musculus OX=10090 GN=Set PE=1 SV=1;tr|A2BE93|A2BE93_MOUSE Protein SET (Fragment) OS=Mus musculus OX=10090 GN=Set PE=1 SV=1;tr|Q5U445|Q5U445_MOUSE cDNA sequence BC085271 OS=Mus musculus OX=10090 GN=BC0852,634070,860230,478150,418430,487940,453180
tr|Q3TPJ8|Q3TPJ8_MOUSE Cytoplasmic dynein 1 intermediate chain 2 OS=Mus musculus OX=10090 GN=Dync1i2 PE=1 SV=1;tr|A2BFF5|A2BFF5_MOUSE Cytoplasmic dynein 1 intermediate chain 2 OS=Mus musculus OX=10090 GN=Dync1i2 PE=1 SV=1;tr|A2BFF9|A2BFF9_MOUSE Cytoplasmic,10911000,11944000,12023000,8067700,14475000,8536600
tr|A2BGG7|A2BGG7_MOUSE Nuclease-sensitive element-binding protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Ybx1 PE=1 SV=1;tr|Q71V06|Q71V06_MOUSE Y box transcription factor (Fragment) OS=Mus musculus OX=10090 GN=Ybx1 PE=2 SV=1;tr|Q810K5|Q810K5_MOUSE Y box p,50262,106390,85522,40063,183510,75519
tr|Q8VC94|Q8VC94_MOUSE Rpl11 protein OS=Mus musculus OX=10090 GN=Rpl11 PE=2 SV=1;tr|A2BH06|A2BH06_MOUSE 60S ribosomal protein L11 (Fragment) OS=Mus musculus OX=10090 GN=Rpl11 PE=1 SV=1;tr|E9PZB3|E9PZB3_MOUSE Predicted gene 5093 OS=Mus musculus OX=10090 GN=,1801100,1736800,1530000,907490,1531500,1162200
tr|E9QAQ7|E9QAQ7_MOUSE AT-rich interactive domain-containing protein 1A OS=Mus musculus OX=10090 GN=Arid1a PE=1 SV=1;sp|A2BH40|ARI1A_MOUSE AT-rich interactive domain-containing protein 1A OS=Mus musculus OX=10090 GN=Arid1a PE=1 SV=1,25755,34543,23679,17628,32323,29710
tr|D3YZ21|D3YZ21_MOUSE RIKEN cDNA D430041D05 gene OS=Mus musculus OX=10090 GN=D430041D05Rik PE=1 SV=1;tr|A2BI30|A2BI30_MOUSE Novel protein (Fragment) OS=Mus musculus OX=10090 GN=RP24-297H17.3 PE=4 SV=1;tr|F6ZGR6|F6ZGR6_MOUSE RIKEN cDNA D430041D05 gene (Fra,372560,235860,337720,436480,848030,293960
tr|A2CG20|A2CG20_MOUSE Proline-rich transmembrane protein 1 OS=Mus musculus OX=10090 GN=Prrt1 PE=1 SV=1;sp|O35449|PRRT1_MOUSE Proline-rich transmembrane protein 1 OS=Mus musculus OX=10090 GN=Prrt1 PE=1 SV=1;tr|Q14C00|Q14C00_MOUSE Prrt1 protein OS=Mus muscu,904600,615970,451320,770040,853630,899890
tr|A2CG35|A2CG35_MOUSE Ras-related protein Rab-12 OS=Mus musculus OX=10090 GN=Rab12 PE=1 SV=1;sp|P35283|RAB12_MOUSE Ras-related protein Rab-12 OS=Mus musculus OX=10090 GN=Rab12 PE=1 SV=3,1539600,1425800,1358500,994270,2026400,1424900
tr|A2RRJ4|A2RRJ4_MOUSE Exportin 5 OS=Mus musculus OX=10090 GN=Xpo5 PE=2 SV=1;sp|Q924C1|XPO5_MOUSE Exportin-5 OS=Mus musculus OX=10090 GN=Xpo5 PE=1 SV=1,215640,207590,131960,101060,112820,164350
tr|A2RRK3|A2RRK3_MOUSE Slk protein OS=Mus musculus OX=10090 GN=Slk PE=2 SV=1;sp|O54988|SLK_MOUSE STE20-like serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Slk PE=1 SV=2,359400,270380,326730,250480,380860,360310
tr|A2RS22|A2RS22_MOUSE Coronin OS=Mus musculus OX=10090 GN=Coro1b PE=1 SV=1;sp|Q9WUM3|COR1B_MOUSE Coronin-1B OS=Mus musculus OX=10090 GN=Coro1b PE=1 SV=1,4976000,6118400,4722100,3464800,6356300,4301900
tr|A2RS23|A2RS23_MOUSE Peptidase D OS=Mus musculus OX=10090 GN=Pepd PE=1 SV=1;sp|Q11136|PEPD_MOUSE Xaa-Pro dipeptidase OS=Mus musculus OX=10090 GN=Pepd PE=1 SV=3,993330,815700,1241600,608340,1014300,704790
tr|A2RS58|A2RS58_MOUSE V-crk sarcoma virus CT10 oncogene homolog (Avian)-like OS=Mus musculus OX=10090 GN=Crkl PE=1 SV=1;sp|P47941|CRKL_MOUSE Crk-like protein OS=Mus musculus OX=10090 GN=Crkl PE=1 SV=2,2495100,2055700,2042100,1060100,1887800,1424800
tr|A2RS68|A2RS68_MOUSE Small nuclear ribonucleoprotein 70 (U1) OS=Mus musculus OX=10090 GN=Snrnp70 PE=2 SV=1;sp|Q62376|RU17_MOUSE U1 small nuclear ribonucleoprotein 70 kDa OS=Mus musculus OX=10090 GN=Snrnp70 PE=1 SV=2;tr|Q9CR32|Q9CR32_MOUSE Uncharacterized,4722000,6706200,3939200,3711100,6967800,4933800
tr|A2RSB1|A2RSB1_MOUSE Nucleosome assembly protein 1-like 4 OS=Mus musculus OX=10090 GN=Nap1l4 PE=1 SV=1;tr|B7ZNL2|B7ZNL2_MOUSE Nap1l4 protein OS=Mus musculus OX=10090 GN=Nap1l4 PE=1 SV=1;tr|Q8C1W9|Q8C1W9_MOUSE Uncharacterized protein OS=Mus musculus OX=10,1940600,2475000,1687700,897160,1828500,1237400
tr|A2RSH4|A2RSH4_MOUSE Sv2c protein OS=Mus musculus OX=10090 GN=Sv2c PE=1 SV=1;sp|Q69ZS6|SV2C_MOUSE Synaptic vesicle glycoprotein 2C OS=Mus musculus OX=10090 GN=Sv2c PE=1 SV=2;tr|Q3UVQ0|Q3UVQ0_MOUSE Uncharacterized protein (Fragment) OS=Mus musculus OX=100,1434200,1007200,868530,721400,791830,1292600
"tr|A2RSV8|A2RSV8_MOUSE Cytochrome c oxidase subunit IV isoform 1 OS=Mus musculus OX=10090 GN=Cox4i1 PE=1 SV=1;sp|P19783|COX41_MOUSE Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Mus musculus OX=10090 GN=Cox4i1 PE=1 SV=2",16604000,13805000,16148000,9468900,17929000,13863000
"tr|A2RT05|A2RT05_MOUSE LAG1 homolog, ceramide synthase 1 OS=Mus musculus OX=10090 GN=Lass1 PE=2 SV=1;sp|P27545|CERS1_MOUSE Ceramide synthase 1 OS=Mus musculus OX=10090 GN=Cers1 PE=1 SV=1",402420,328090,292280,202250,549710,306910
tr|A2RT14|A2RT14_MOUSE Olfactory marker protein OS=Mus musculus OX=10090 GN=Omp PE=2 SV=1;sp|Q64288|OMP_MOUSE Olfactory marker protein OS=Mus musculus OX=10090 GN=Omp PE=1 SV=3;tr|Q3UZQ4|Q3UZQ4_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Omp ,1159800,285420000,185430,1213500,1284200,877590
tr|B2RPY3|B2RPY3_MOUSE F-box and leucine-rich repeat protein 16 OS=Mus musculus OX=10090 GN=Fbxl16 PE=1 SV=1;sp|A2RT62|FXL16_MOUSE F-box/LRR-repeat protein 16 OS=Mus musculus OX=10090 GN=Fbxl16 PE=1 SV=1,8428600,4565400,7329400,9419200,9102500,9532200
tr|Q3UE99|Q3UE99_MOUSE Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=Lgmn PE=2 SV=1;tr|A2RTI3|A2RTI3_MOUSE Legumain OS=Mus musculus OX=10090 GN=Lgmn PE=1 SV=1;sp|O89017|LGMN_MOUSE Legumain OS=Mus musculus OX=10090 GN=Lgmn PE=1 SV=1,829120,937660,783740,386800,779090,541870
tr|A2RTT4|A2RTT4_MOUSE MCG4297 OS=Mus musculus OX=10090 GN=Ube2n PE=1 SV=1;sp|P61089|UBE2N_MOUSE Ubiquitin-conjugating enzyme E2 N OS=Mus musculus OX=10090 GN=Ube2n PE=1 SV=1,31699000,28542000,28554000,16638000,29249000,21577000
tr|Q3UY17|Q3UY17_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Gria3 PE=2 SV=1;tr|Q3TZK0|Q3TZK0_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Gria3 PE=2 SV=1;tr|Q3TTV2|Q3TTV2_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN,606040,515470,548130,625900,1023900,675120
tr|Q3TFP0|Q3TFP0_MOUSE Serine/arginine-rich-splicing factor 10 OS=Mus musculus OX=10090 GN=Srsf10 PE=1 SV=1;tr|Q3UDH7|Q3UDH7_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Srsf10 PE=2 SV=1;tr|Q3UA07|Q3UA07_MOUSE Uncharacterized protein OS=Mus mu,1065600,1103300,765670,638820,802600,946720
tr|A3KGE4|A3KGE4_MOUSE Noelin OS=Mus musculus OX=10090 GN=Olfm1 PE=1 SV=1;tr|G3X9Q7|G3X9Q7_MOUSE Noelin OS=Mus musculus OX=10090 GN=Olfm1 PE=1 SV=1;tr|Q8R357|Q8R357_MOUSE Noelin OS=Mus musculus OX=10090 GN=Olfm1 PE=1 SV=1;sp|O88998|NOE1_MOUSE Noelin OS=Mus,641490,693360,519100,686450,1380500,702550
"tr|B9EKJ1|B9EKJ1_MOUSE Spna2 protein OS=Mus musculus OX=10090 GN=Sptan1 PE=2 SV=1;tr|B2RXX6|B2RXX6_MOUSE Spna2 protein OS=Mus musculus OX=10090 GN=Sptan1 PE=2 SV=1;tr|A3KGU7|A3KGU7_MOUSE Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=",266750000,271990000,187320000,214840000,371350000,245730000
tr|A3KME9|A3KME9_MOUSE Padi2 protein (Fragment) OS=Mus musculus OX=10090 GN=Padi2 PE=2 SV=1;tr|Q3TBF1|Q3TBF1_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Padi2 PE=2 SV=1;sp|Q08642|PADI2_MOUSE Protein-arginine deiminase type-2 OS=Mus musculus O,2164400,1224100,3793900,844080,1602500,952470
tr|A3KMJ8|A3KMJ8_MOUSE Vbp1 protein (Fragment) OS=Mus musculus OX=10090 GN=Vbp1 PE=2 SV=1;sp|P61759|PFD3_MOUSE Prefoldin subunit 3 OS=Mus musculus OX=10090 GN=Vbp1 PE=1 SV=2,2039100,1864900,1581000,933220,1414400,1209900
tr|A3KML3|A3KML3_MOUSE MCG126220 OS=Mus musculus OX=10090 GN=Ywhaq PE=2 SV=1;tr|F6VW30|F6VW30_MOUSE 14-3-3 protein theta (Fragment) OS=Mus musculus OX=10090 GN=Ywhaq PE=1 SV=1;sp|P68254|1433T_MOUSE 14-3-3 protein theta OS=Mus musculus OX=10090 GN=Ywhaq PE=,29595000,22867000,24842000,11993000,21772000,16335000
tr|A3QK59|A3QK59_MOUSE ATP-dependent RNA helicase DHX33 OS=Mus musculus OX=10090 GN=Dhx33 PE=1 SV=1;sp|Q80VY9|DHX33_MOUSE ATP-dependent RNA helicase DHX33 OS=Mus musculus OX=10090 GN=Dhx33 PE=1 SV=1,0,51736,0,0,0,0
tr|A4FU75|A4FU75_MOUSE Dagla protein (Fragment) OS=Mus musculus OX=10090 GN=Dagla PE=2 SV=1;sp|Q6WQJ1|DGLA_MOUSE Sn1-specific diacylglycerol lipase alpha OS=Mus musculus OX=10090 GN=Dagla PE=1 SV=2,352390,343330,396820,420480,555250,385640
tr|A4FUR1|A4FUR1_MOUSE Fam131b protein (Fragment) OS=Mus musculus OX=10090 GN=Fam131b PE=2 SV=1;tr|E9Q8P8|E9Q8P8_MOUSE Protein FAM131B OS=Mus musculus OX=10090 GN=Fam131b PE=1 SV=1;sp|Q3TY60|F131B_MOUSE Protein FAM131B OS=Mus musculus OX=10090 GN=Fam131b P,561840,505670,893680,351200,608610,471360
tr|A4FUS1|A4FUS1_MOUSE MCG123443 OS=Mus musculus OX=10090 GN=Rps16 PE=1 SV=1;tr|Q641N3|Q641N3_MOUSE Rps16 protein (Fragment) OS=Mus musculus OX=10090 GN=Rps16 PE=2 SV=1;tr|Q5CZY9|Q5CZY9_MOUSE Rps16 protein OS=Mus musculus OX=10090 GN=Rps16 PE=2 SV=1;sp|P14,4313900,3399700,2976900,2688100,2073400,3052900
tr|D3Z5I6|D3Z5I6_MOUSE IQ motif and SEC7 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Iqsec2 PE=1 SV=1;tr|A4GZ26|A4GZ26_MOUSE ARF6 guanine nucleotide exchange factor IQArfGEF OS=Mus musculus OX=10090 GN=Iqsec2 PE=1 SV=1;tr|E9QAD8|E9QAD8_MOUSE IQ,468030,611360,262740,437280,713680,413220
tr|A5A4Z2|A5A4Z2_MOUSE TCTEX5 isoform 2 OS=Mus musculus OX=10090 GN=Ppp1r11 PE=2 SV=1;tr|G3UZ30|G3UZ30_MOUSE E3 ubiquitin-protein ligase PPP1R11 (Fragment) OS=Mus musculus OX=10090 GN=Ppp1r11 PE=1 SV=2;tr|A5A4Z1|A5A4Z1_MOUSE TCTEX5 isoform 1 OS=Mus musculu,1398900,1042200,1436100,535380,1233600,961990
tr|A5CVE4|A5CVE4_MOUSE MCG1293 OS=Mus musculus OX=10090 GN=Stim2 PE=1 SV=1;tr|I1E4X8|I1E4X8_MOUSE Stromal interaction molecule 2 OS=Mus musculus OX=10090 GN=Stim2 PE=1 SV=1;tr|B7ZN44|B7ZN44_MOUSE Stim2 protein OS=Mus musculus OX=10090 GN=Stim2 PE=2 SV=1;tr,429970,364130,318390,320100,569000,315690
tr|A5GZX3|A5GZX3_MOUSE Lactoylglutathione lyase OS=Mus musculus OX=10090 GN=Glo1 PE=1 SV=1;sp|Q9CPU0|LGUL_MOUSE Lactoylglutathione lyase OS=Mus musculus OX=10090 GN=Glo1 PE=1 SV=3,1209200,1144900,1361300,893640,1008500,937990
tr|Q8C1X1|Q8C1X1_MOUSE Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=Exoc6b PE=2 SV=1;sp|A6H5Z3|EXC6B_MOUSE Exocyst complex component 6B OS=Mus musculus OX=10090 GN=Exoc6b PE=1 SV=1,286190,303020,251850,195710,382380,248950
sp|A6H630|ARMT1_MOUSE Protein-glutamate O-methyltransferase OS=Mus musculus OX=10090 GN=Armt1 PE=1 SV=1,1881200,1282100,1893800,1497100,1978300,1912200
tr|Q8BGC2|Q8BGC2_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Sipa1l3 PE=2 SV=1;tr|A6H637|A6H637_MOUSE Sipa1l3 protein (Fragment) OS=Mus musculus OX=10090 GN=Sipa1l3 PE=2 SV=1;tr|S4R2N4|S4R2N4_MOUSE Signal-induced proliferation-associated 1-li,18062,26601,21515,17128,33187,20911
tr|Q3TAM9|Q3TAM9_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Bag3 PE=2 SV=1;tr|A6H663|A6H663_MOUSE BCL2-associated athanogene 3 OS=Mus musculus OX=10090 GN=Bag3 PE=2 SV=1;sp|Q9JLV1|BAG3_MOUSE BAG family molecular chaperone regulator 3 OS=Mus ,66040,62802,52017,21771,63804,32885
tr|Q925J7|Q925J7_MOUSE Protein tyrosine phosphatase receptor type N (Fragment) OS=Mus musculus OX=10090 GN=Ptprn PE=2 SV=1;tr|A6MDD2|A6MDD2_MOUSE Protein tyrosine phosphatase receptor type N OS=Mus musculus OX=10090 GN=Ptprn PE=1 SV=1;tr|Q6NVE2|Q6NVE2_MOUS,7048800,4267700,2805400,989180,1424600,1993700
tr|Q8BIA0|Q8BIA0_MOUSE Phosphodiesterase OS=Mus musculus OX=10090 GN=Pde8b PE=2 SV=1;tr|E9PUL4|E9PUL4_MOUSE Phosphodiesterase OS=Mus musculus OX=10090 GN=Pde8b PE=1 SV=1;tr|Q8CFW8|Q8CFW8_MOUSE Phosphodiesterase OS=Mus musculus OX=10090 GN=Pde8b PE=2 SV=1;t,124950,60033,66938,90282,125440,159840
tr|Q5FWB7|Q5FWB7_MOUSE Fructose-bisphosphate aldolase OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=1;tr|A6ZI44|A6ZI44_MOUSE Fructose-bisphosphate aldolase OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=1;sp|P05064|ALDOA_MOUSE Fructose-bisphosphate aldolase A OS=Mu,373650000,284110000,357060000,210270000,349110000,251060000
"tr|A7VJ98|A7VJ98_MOUSE Glia maturation factor beta OS=Mus musculus OX=10090 GN=Gmfb PE=2 SV=1;tr|Q80X87|Q80X87_MOUSE Glia maturation factor, beta OS=Mus musculus OX=10090 GN=Gmfb PE=2 SV=1;sp|Q9CQI3|GMFB_MOUSE Glia maturation factor beta OS=Mus musculus OX",6616200,5065000,6274600,4284700,6658000,5118500
tr|Q3THE7|Q3THE7_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Aldh9a1 PE=2 SV=1;tr|A7VL18|A7VL18_MOUSE Gamma-aminobutyraldehyde dehydrogenase OS=Mus musculus OX=10090 GN=Aldh9a1 PE=2 SV=1;sp|Q9JLJ2|AL9A1_MOUSE 4-trimethylaminobutyraldehyde deh,4099700,3210500,3389500,1776400,3426300,2292400
"tr|A7VMV2|A7VMV2_MOUSE Crystallin, lamda 1, isoform CRA_a OS=Mus musculus OX=10090 GN=Cryl1 PE=1 SV=1;sp|Q99KP3|CRYL1_MOUSE Lambda-crystallin homolog OS=Mus musculus OX=10090 GN=Cryl1 PE=1 SV=3",1380400,1328000,1202800,941970,1443500,1070700
tr|A7YQ68|A7YQ68_MOUSE Prickle-like 2 (Drosophila) OS=Mus musculus OX=10090 GN=Prickle2 PE=1 SV=1;sp|Q80Y24|PRIC2_MOUSE Prickle-like protein 2 OS=Mus musculus OX=10090 GN=Prickle2 PE=1 SV=3,436110,405380,472860,360080,778110,355910
tr|A8C1T7|A8C1T7_MOUSE Cysteine-rich with EGF-like domains 1 OS=Mus musculus OX=10090 GN=Creld1 PE=1 SV=1;sp|Q91XD7|CREL1_MOUSE Cysteine-rich with EGF-like domain protein 1 OS=Mus musculus OX=10090 GN=Creld1 PE=1 SV=1,5201000,3327900,4557700,2026400,5533300,3420300
tr|A8DUK7|A8DUK7_MOUSE Beta-globin OS=Mus musculus OX=10090 GN=Hbbt1 PE=3 SV=1;tr|A8DUK4|A8DUK4_MOUSE Beta-globin OS=Mus musculus OX=10090 GN=Hbb-bs PE=1 SV=1;tr|A8DUQ5|A8DUQ5_MOUSE Beta-globin OS=Mus musculus OX=10090 GN=Hbbt1 PE=3 SV=1;tr|A8DUL2|A8DUL2_M,331110000,527510000,336850000,179760000,234060000,204990000
tr|A8IP69|A8IP69_MOUSE 14-3-3 protein gamma subtype OS=Mus musculus OX=10090 GN=Ywhag PE=1 SV=1;sp|P61982|1433G_MOUSE 14-3-3 protein gamma OS=Mus musculus OX=10090 GN=Ywhag PE=1 SV=2,60218000,35777000,46087000,21013000,39454000,33853000
tr|Q5ICG4|Q5ICG4_MOUSE Long chain acyl-CoA synthetase 6 isoform 1 OS=Mus musculus OX=10090 GN=Acsl6 PE=2 SV=1;tr|A8IP90|A8IP90_MOUSE Long-chain acyl-CoA synthetase OS=Mus musculus OX=10090 GN=Acsl6 PE=2 SV=1;tr|Q5F2D0|Q5F2D0_MOUSE Uncharacterized protein O,1395200,2702000,1072300,577680,394140,972880
tr|A8R0U9|A8R0U9_MOUSE Exocrine gland secreted peptide 16 OS=Mus musculus OX=10090 GN=Esp16 PE=2 SV=1,144210,114290,118520,75990,122500,108990
sp|A8Y5H7|S14L1_MOUSE SEC14-like protein 1 OS=Mus musculus OX=10090 GN=Sec14l1 PE=1 SV=1,39364,121090,29491,42863,70866,43975
tr|A8Y5J9|A8Y5J9_MOUSE Transmembrane protein 39B (Fragment) OS=Mus musculus OX=10090 GN=Tmem39b PE=4 SV=8,0,0,0,0,0,0
tr|A8Y5P4|A8Y5P4_MOUSE MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1 PE=1 SV=1;tr|A2AJI1|A2AJI1_MOUSE MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1 PE=1 SV=1;sp|A2AJI0|MA7D1_MOUSE MAP7 domain-containing protein 1,2655600,2895200,2173200,1727700,3259500,1951400
"tr|Q3U4M2|Q3U4M2_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Pars2 PE=2 SV=1;tr|A8Y5T6|A8Y5T6_MOUSE Probable proline--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Pars2 PE=1 SV=1;sp|Q8CFI5|SYPM_MOUSE Probable proline--tRNA ligase, m",53336,24142,33153,23630,9284,37098
tr|A9CLV6|A9CLV6_MOUSE Axotomy induced glycoprotein 2 OS=Mus musculus OX=10090 GN=Serinc1 PE=1 SV=1;sp|Q9QZI8|SERC1_MOUSE Serine incorporator 1 OS=Mus musculus OX=10090 GN=Serinc1 PE=1 SV=1,533660,303020,385300,235270,297570,273190
